 -2.5  0.0   4224    0   1.152   1.329   0.668   1.324   0.884   0.139   3.100  -0.728
 -2.5  0.0   4155    0   1.297   1.390   0.692   1.373   0.908   0.144   3.200  -0.786
 -2.5  0.0   4086    0   1.435   1.447   0.715   1.424   0.931   0.149   3.300  -0.845
 -2.5  0.0   4022    0   1.565   1.501   0.738   1.476   0.953   0.155   3.400  -0.907
 -2.5  0.0   3965    0   1.682   1.550   0.762   1.529   0.975   0.160   3.500  -0.971
 -2.5  0.0   3912    0   1.782   1.594   0.785   1.582   0.996   0.166   3.600  -1.038
 -2.5  0.0   3862    0   1.864   1.631   0.807   1.636   1.017   0.172   3.700  -1.106
 -2.5  0.0   3821    0   1.926   1.661   0.830   1.689   1.037   0.177   3.800  -1.174
 -2.5  0.0   3789    0   1.971   1.685   0.852   1.742   1.055   0.182   3.900  -1.242
 -2.5  0.0   3761    0   2.003   1.705   0.872   1.795   1.072   0.187   4.000  -1.313
 -2.5  0.0   3735    0   2.027   1.721   0.892   1.849   1.087   0.192   4.100  -1.391
 -2.5  0.0   3710    0   2.046   1.735   0.911   1.904   1.101   0.197   4.200  -1.472
 -2.5  0.0   3683    0   2.061   1.748   0.930   1.961   1.113   0.202   4.300  -1.553
 -2.5  0.0   3656    0   2.073   1.758   0.948   2.019   1.124   0.206   4.400  -1.634
 -2.5  0.0   3631    0   2.078   1.765   0.967   2.078   1.134   0.211   4.500  -1.715
 -2.5  0.0   3608    0   2.078   1.770   0.986   2.139   1.143   0.216   4.600  -1.796
 -2.5  0.0   3586    0   2.066   1.771   1.005   2.199   1.151   0.220   4.700  -1.877
 -2.5  0.0   3565    0   2.046   1.769   1.025   2.262   1.158   0.225   4.800  -1.958
 -2.5  0.0   3545    0   2.009   1.763   1.045   2.325   1.164   0.230   4.900  -2.039
 -2.5  0.0   3530    0   1.955   1.752   1.066   2.388   1.170   0.236   5.000  -2.106
 -2.5  0.0   3459    0   1.779   1.720   1.157   2.646   1.189   0.256   5.400  -2.484
 -2.5  0.0   3398    0   1.572   1.677   1.259   2.905   1.204   0.277   5.800  -2.848
 -2.5  0.0   3339    0   1.375   1.639   1.372   3.158   1.217   0.299   6.200  -3.212
 -2.5  0.0   3279    0   1.215   1.613   1.490   3.402   1.231   0.323   6.600  -3.576
